index, Recency (months),Frequency (times),Monetary (c.c. blood),Time (months),"whether he/she donated blood in March 2007"
97,3 ,17,4250,86 ,Y
98,4 ,9,2250,38 ,N
99,4 ,4,1000,14 ,N
100,5 ,7,1750,26 ,N
101,4 ,8,2000,34 ,N
102,2 ,13,3250,76 ,N
103,4 ,9,2250,40 ,Y
104,2 ,5,1250,26 ,Y
105,2 ,5,1250,26 ,Y
106,6 ,17,4250,70 ,Y
107,0 ,8,2000,59 ,Y
108,3 ,5,1250,26 ,Y
109,2 ,3,750,14 ,Y
110,2 ,10,2500,64 ,Y
111,4 ,5,1250,23 ,N
112,4 ,9,2250,46 ,Y
113,4 ,5,1250,23 ,Y
114,4 ,8,2000,40 ,N
115,2 ,12,3000,82 ,Y
116,11 ,24,6000,64 ,Y
117,2 ,7,1750,46 ,N
118,4 ,11,2750,61 ,Y
119,1 ,7,1750,57 ,Y
120,2 ,11,2750,79 ,N
121,2 ,3,750,16 ,N
122,4 ,5,1250,26 ,N
123,2 ,6,1500,41 ,N
124,2 ,5,1250,33 ,N
125,2 ,4,1000,26 ,Y
126,2 ,5,1250,34 ,Y
127,4 ,8,2000,46 ,N
128,2 ,4,1000,26 ,Y
129,4 ,8,2000,48 ,N
130,2 ,2,500,10 ,N
131,4 ,5,1250,28 ,Y
132,2 ,12,3000,95 ,Y
133,2 ,2,500,10 ,Y
134,4 ,6,1500,35 ,Y
135,2 ,11,2750,88 ,Y
136,2 ,3,750,19 ,Y
137,2 ,5,1250,37 ,Y
138,2 ,12,3000,98 ,Y
139,9 ,5,1250,19 ,Y
140,2 ,2,500,11 ,Y
141,2 ,9,2250,74 ,Y
142,5 ,14,3500,86 ,Y
143,4 ,3,750,16 ,Y
144,4 ,3,750,16 ,Y
145,4 ,2,500,9 ,N
146,4 ,3,750,16 ,N
147,6 ,3,750,14 ,Y
148,2 ,2,500,11 ,Y
149,2 ,2,500,11 ,N
150,2 ,2,500,11 ,Y
151,2 ,7,1750,58 ,N
152,4 ,6,1500,39 ,Y
153,4 ,11,2750,78 ,Y
154,2 ,1,250,2 ,N
155,2 ,1,250,2 ,Y
156,2 ,1,250,2 ,Y
157,2 ,1,250,2 ,Y
158,2 ,1,250,2 ,Y
159,2 ,1,250,2 ,Y
160,2 ,1,250,2 ,Y
161,2 ,1,250,2 ,Y
162,2 ,1,250,2 ,Y
163,2 ,1,250,2 ,Y
164,2 ,1,250,2 ,N
165,2 ,1,250,2 ,N
166,2 ,1,250,2 ,N
167,2 ,1,250,2 ,Y
168,2 ,1,250,2 ,Y
169,2 ,1,250,2 ,Y
170,2 ,1,250,2 ,Y
171,2 ,1,250,2 ,Y
172,2 ,1,250,2 ,Y
173,2 ,1,250,2 ,Y
174,2 ,1,250,2 ,Y
175,2 ,1,250,2 ,Y
176,11 ,10,2500,35 ,Y
177,11 ,4,1000,16 ,N
178,4 ,5,1250,33 ,N
179,4 ,6,1500,41 ,N
180,2 ,3,750,22 ,Y
181,4 ,4,1000,26 ,N
182,10 ,4,1000,16 ,Y
183,2 ,4,1000,35 ,Y
184,4 ,12,3000,88 ,Y
185,13 ,8,2000,26 ,Y
186,11 ,9,2250,33 ,Y
187,4 ,5,1250,34 ,Y
188,4 ,4,1000,26 ,Y
189,8 ,15,3750,77 ,Y
190,4 ,5,1250,35 ,N
191,4 ,7,1750,52 ,Y
192,4 ,7,1750,52 ,Y
193,2 ,4,1000,35 ,Y
194,11 ,11,2750,42 ,Y
195,2 ,2,500,14 ,Y
196,2 ,5,1250,47 ,N
197,9 ,8,2000,38 ,N
198,4 ,6,1500,47 ,Y
199,11 ,7,1750,29 ,Y
200,9 ,9,2250,45 ,Y
201,4 ,6,1500,52 ,Y
202,4 ,7,1750,58 ,Y
203,6 ,2,500,11 ,N
204,4 ,7,1750,58 ,Y
205,11 ,9,2250,38 ,Y
206,11 ,6,1500,26 ,Y
207,2 ,2,500,16 ,Y
208,2 ,7,1750,76 ,Y
209,11 ,6,1500,27 ,Y
210,11 ,3,750,14 ,Y
211,4 ,1,250,4 ,Y
212,4 ,1,250,4 ,Y
213,4 ,1,250,4 ,Y
214,4 ,1,250,4 ,Y
215,4 ,1,250,4 ,Y
216,4 ,1,250,4 ,N
217,4 ,1,250,4 ,Y
218,4 ,1,250,4 ,Y
219,4 ,1,250,4 ,Y
220,4 ,1,250,4 ,Y
221,4 ,1,250,4 ,Y
222,4 ,1,250,4 ,N
223,4 ,1,250,4 ,N
224,4 ,1,250,4 ,Y
225,4 ,1,250,4 ,N
226,4 ,1,250,4 ,N
227,4 ,1,250,4 ,Y
228,4 ,3,750,24 ,Y
229,4 ,1,250,4 ,Y
230,4 ,1,250,4 ,Y
231,4 ,1,250,4 ,Y
232,4 ,1,250,4 ,N
233,4 ,1,250,4 ,Y
234,10 ,8,2000,39 ,Y
235,14 ,7,1750,26 ,Y
236,8 ,10,2500,63 ,Y
237,11 ,3,750,15 ,Y
238,4 ,2,500,14 ,Y
239,2 ,4,1000,43 ,Y
240,8 ,9,2250,58 ,Y
241,8 ,8,2000,52 ,N
242,11 ,22,5500,98 ,Y
243,4 ,3,750,25 ,N
244,11 ,17,4250,79 ,N
245,9 ,2,500,11 ,Y
246,4 ,5,1250,46 ,Y
247,11 ,12,3000,58 ,Y
248,7 ,12,3000,86 ,Y
249,11 ,2,500,11 ,Y
250,11 ,2,500,11 ,Y
251,11 ,2,500,11 ,Y
252,2 ,6,1500,75 ,Y
253,11 ,8,2000,41 ,N
254,11 ,3,750,16 ,N
255,12 ,13,3250,59 ,Y
256,2 ,3,750,35 ,Y
257,16 ,8,2000,28 ,Y
258,11 ,7,1750,37 ,Y
259,4 ,3,750,28 ,Y
260,12 ,12,3000,58 ,Y
261,4 ,4,1000,41 ,Y
262,11 ,14,3500,73 ,N
263,2 ,2,500,23 ,Y
264,2 ,3,750,38 ,N
265,4 ,5,1250,58 ,Y
266,4 ,4,1000,43 ,N
267,3 ,2,500,23 ,Y
268,11 ,8,2000,46 ,Y
269,4 ,7,1750,82 ,Y
270,13 ,4,1000,21 ,Y
271,16 ,11,2750,40 ,Y
272,16 ,7,1750,28 ,Y
273,7 ,2,500,16 ,Y
274,4 ,5,1250,58 ,Y
275,4 ,5,1250,58 ,Y
276,4 ,4,1000,46 ,Y
277,14 ,13,3250,57 ,Y
278,4 ,3,750,34 ,Y
279,14 ,18,4500,78 ,Y
280,11 ,8,2000,48 ,Y
281,14 ,16,4000,70 ,Y
282,14 ,4,1000,22 ,N
283,14 ,5,1250,26 ,Y
284,8 ,2,500,16 ,Y
285,11 ,5,1250,33 ,Y
286,11 ,2,500,14 ,Y
287,4 ,2,500,23 ,Y
288,9 ,2,500,16 ,N
289,14 ,5,1250,28 ,N
290,14 ,3,750,19 ,N
291,14 ,4,1000,23 ,N
292,16 ,12,3000,50 ,Y
293,11 ,4,1000,28 ,Y
294,11 ,5,1250,35 ,Y
295,11 ,5,1250,35 ,Y
296,2 ,4,1000,70 ,Y
297,14 ,5,1250,28 ,Y
298,14 ,2,500,14 ,Y
299,14 ,2,500,14 ,Y
300,14 ,2,500,14 ,Y
301,14 ,2,500,14 ,Y
302,14 ,2,500,14 ,Y
303,14 ,2,500,14 ,Y
304,2 ,3,750,52 ,Y
305,14 ,6,1500,34 ,Y
306,11 ,5,1250,37 ,N
307,4 ,5,1250,74 ,Y
308,11 ,3,750,23 ,Y
309,16 ,4,1000,23 ,Y
310,16 ,3,750,19 ,Y
311,11 ,5,1250,38 ,Y
312,11 ,2,500,16 ,Y
313,12 ,9,2250,60 ,Y
314,9 ,1,250,9 ,Y
315,9 ,1,250,9 ,Y
316,4 ,2,500,29 ,Y
317,11 ,2,500,17 ,Y
318,14 ,4,1000,26 ,Y
319,11 ,9,2250,72 ,N
320,11 ,5,1250,41 ,Y
321,15 ,16,4000,82 ,Y
322,9 ,5,1250,51 ,N
323,11 ,4,1000,34 ,Y
324,14 ,8,2000,50 ,N
325,16 ,7,1750,38 ,Y
326,14 ,2,500,16 ,Y
327,2 ,2,500,41 ,Y
328,14 ,16,4000,98 ,Y
329,14 ,4,1000,28 ,N
330,16 ,7,1750,39 ,Y
331,14 ,7,1750,47 ,Y
332,16 ,6,1500,35 ,Y
333,16 ,6,1500,35 ,N
334,11 ,7,1750,62 ,N
335,16 ,2,500,16 ,Y
336,16 ,3,750,21 ,N
337,11 ,3,750,28 ,Y
338,11 ,7,1750,64 ,Y
339,11 ,1,250,11 ,N
340,9 ,3,750,34 ,Y
341,14 ,4,1000,30 ,Y
342,23 ,38,9500,98 ,Y
343,11 ,6,1500,58 ,Y
344,11 ,1,250,11 ,Y
345,11 ,1,250,11 ,Y
346,11 ,1,250,11 ,Y
347,11 ,1,250,11 ,Y
348,11 ,1,250,11 ,Y
349,11 ,1,250,11 ,Y
350,11 ,1,250,11 ,Y
351,11 ,1,250,11 ,Y
352,11 ,2,500,21 ,Y
353,11 ,5,1250,50 ,Y
354,11 ,2,500,21 ,Y
355,16 ,4,1000,28 ,Y
356,4 ,2,500,41 ,Y
357,16 ,6,1500,40 ,Y
358,14 ,3,750,26 ,Y
359,9 ,2,500,26 ,Y
360,21 ,16,4000,64 ,Y
361,14 ,6,1500,51 ,Y
362,11 ,2,500,24 ,Y
363,4 ,3,750,71 ,Y
364,21 ,13,3250,57 ,Y
365,11 ,6,1500,71 ,Y
366,14 ,2,500,21 ,N
367,23 ,15,3750,57 ,Y
368,14 ,4,1000,38 ,Y
369,11 ,2,500,26 ,Y
370,16 ,5,1250,40 ,N
371,4 ,2,500,51 ,N
372,14 ,3,750,31 ,Y
373,4 ,2,500,52 ,Y
374,9 ,4,1000,65 ,Y
375,14 ,4,1000,40 ,Y
376,11 ,3,750,40 ,N
377,14 ,5,1250,50 ,Y
378,14 ,1,250,14 ,Y
379,14 ,1,250,14 ,Y
380,14 ,1,250,14 ,Y
381,14 ,1,250,14 ,Y
382,14 ,1,250,14 ,Y
383,14 ,1,250,14 ,Y
384,14 ,1,250,14 ,Y
385,14 ,1,250,14 ,Y
386,14 ,7,1750,72 ,Y
387,14 ,1,250,14 ,Y
388,14 ,1,250,14 ,Y
389,9 ,3,750,52 ,Y
390,14 ,7,1750,73 ,Y
391,11 ,4,1000,58 ,Y
392,11 ,4,1000,59 ,Y
393,4 ,2,500,59 ,Y
394,11 ,4,1000,61 ,Y
395,16 ,4,1000,40 ,Y
396,16 ,10,2500,89 ,Y
397,21 ,2,500,21 ,N
398,21 ,3,750,26 ,Y
399,16 ,8,2000,76 ,Y
400,21 ,3,750,26 ,N
401,18 ,2,500,23 ,Y
402,23 ,5,1250,33 ,Y
403,23 ,8,2000,46 ,Y
404,16 ,3,750,34 ,Y
405,14 ,5,1250,64 ,Y
406,14 ,3,750,41 ,Y
407,16 ,1,250,16 ,Y
408,16 ,1,250,16 ,Y
409,16 ,1,250,16 ,Y
410,16 ,1,250,16 ,Y
411,16 ,1,250,16 ,Y
412,16 ,1,250,16 ,Y
413,16 ,1,250,16 ,Y
414,16 ,4,1000,45 ,Y
415,16 ,1,250,16 ,Y
416,16 ,1,250,16 ,Y
417,16 ,1,250,16 ,Y
418,16 ,1,250,16 ,Y
419,16 ,1,250,16 ,Y
420,16 ,2,500,26 ,Y
421,21 ,2,500,23 ,Y
422,16 ,2,500,27 ,Y
423,21 ,2,500,23 ,Y
424,21 ,2,500,23 ,Y
425,14 ,4,1000,57 ,Y
426,16 ,5,1250,60 ,Y
427,23 ,2,500,23 ,Y
428,14 ,5,1250,74 ,Y
429,23 ,3,750,28 ,Y
430,16 ,3,750,40 ,Y
431,9 ,2,500,52 ,Y
432,9 ,2,500,52 ,Y
433,16 ,7,1750,87 ,N
434,14 ,4,1000,64 ,Y
435,14 ,2,500,35 ,Y
436,16 ,7,1750,93 ,Y
437,21 ,2,500,25 ,Y
438,14 ,3,750,52 ,Y
439,23 ,14,3500,93 ,Y
440,18 ,8,2000,95 ,Y
441,16 ,3,750,46 ,Y
442,11 ,3,750,76 ,Y
443,11 ,2,500,52 ,Y
444,11 ,3,750,76 ,Y
445,23 ,12,3000,86 ,Y
446,21 ,3,750,35 ,Y
447,23 ,2,500,26 ,Y
448,23 ,2,500,26 ,Y
449,23 ,8,2000,64 ,Y
450,16 ,3,750,50 ,Y
451,23 ,3,750,33 ,Y
452,21 ,3,750,38 ,Y
453,23 ,2,500,28 ,Y
454,21 ,1,250,21 ,Y
455,21 ,1,250,21 ,Y
456,21 ,1,250,21 ,Y
457,21 ,1,250,21 ,Y
458,21 ,1,250,21 ,Y
459,21 ,1,250,21 ,Y
460,21 ,1,250,21 ,Y
461,21 ,1,250,21 ,Y
462,21 ,1,250,21 ,Y
463,21 ,1,250,21 ,N
464,21 ,1,250,21 ,Y
465,21 ,1,250,21 ,Y
466,21 ,5,1250,60 ,Y
467,23 ,4,1000,45 ,Y
468,21 ,4,1000,52 ,Y
469,22 ,1,250,22 ,N
470,11 ,2,500,70 ,Y
471,23 ,5,1250,58 ,Y
472,23 ,3,750,40 ,Y
473,23 ,3,750,41 ,Y
474,14 ,3,750,83 ,Y
475,21 ,2,500,35 ,Y
476,26 ,5,1250,49 ,N
477,23 ,6,1500,70 ,Y
478,23 ,1,250,23 ,Y
479,23 ,1,250,23 ,Y
480,23 ,1,250,23 ,Y
481,23 ,1,250,23 ,Y
482,23 ,1,250,23 ,Y
483,23 ,1,250,23 ,Y
484,23 ,1,250,23 ,Y
485,23 ,1,250,23 ,Y
486,23 ,4,1000,53 ,Y
487,21 ,6,1500,86 ,Y
488,23 ,3,750,48 ,Y
489,21 ,2,500,41 ,Y
490,21 ,3,750,64 ,Y
491,16 ,2,500,70 ,Y
492,21 ,3,750,70 ,Y
493,23 ,4,1000,87 ,Y
494,23 ,3,750,89 ,Y
495,23 ,2,500,87 ,Y
496,35 ,3,750,64 ,Y
497,38 ,1,250,38 ,Y
498,38 ,1,250,38 ,Y
499,40 ,1,250,40 ,Y
500,74 ,1,250,74 ,Y
501,2 ,43,10750,86 ,N
502,6 ,22,5500,28 ,N
503,2 ,34,8500,77 ,N
504,2 ,44,11000,98 ,Y
505,0 ,26,6500,76 ,N
506,2 ,41,10250,98 ,N
507,3 ,21,5250,42 ,N
508,2 ,11,2750,23 ,Y
509,2 ,21,5250,52 ,N
510,2 ,13,3250,32 ,N
511,4 ,4,1000,4 ,N
512,2 ,11,2750,26 ,Y
513,2 ,11,2750,28 ,Y
514,3 ,14,3500,35 ,Y
515,4 ,16,4000,38 ,N
516,4 ,6,1500,14 ,Y
517,3 ,5,1250,12 ,N
518,4 ,33,8250,98 ,N
519,3 ,10,2500,33 ,N
520,4 ,10,2500,28 ,N
521,2 ,11,2750,40 ,N
522,2 ,11,2750,41 ,N
523,4 ,13,3250,39 ,N
524,1 ,10,2500,43 ,N
525,4 ,9,2250,28 ,Y
526,2 ,4,1000,11 ,Y
527,2 ,5,1250,16 ,N
528,2 ,15,3750,64 ,Y
529,5 ,24,6000,79 ,Y
530,2 ,6,1500,22 ,N
531,4 ,5,1250,16 ,N
532,2 ,4,1000,14 ,N
533,4 ,8,2000,28 ,Y
534,2 ,4,1000,14 ,Y
535,2 ,6,1500,26 ,Y
536,4 ,5,1250,16 ,N
537,2 ,7,1750,32 ,N
538,2 ,6,1500,26 ,N
539,2 ,8,2000,38 ,N
540,2 ,2,500,4 ,N
541,2 ,6,1500,28 ,N
542,2 ,10,2500,52 ,Y
543,4 ,16,4000,70 ,N
544,4 ,2,500,4 ,N
545,1 ,14,3500,95 ,Y
546,4 ,2,500,4 ,N
547,7 ,14,3500,48 ,Y
548,2 ,3,750,11 ,Y
549,2 ,12,3000,70 ,N
550,4 ,7,1750,32 ,N
551,4 ,4,1000,16 ,Y
552,2 ,6,1500,35 ,N
553,4 ,6,1500,28 ,N
554,2 ,3,750,14 ,Y
555,2 ,4,1000,23 ,Y
556,4 ,4,1000,18 ,Y
557,5 ,6,1500,28 ,Y
558,4 ,6,1500,30 ,Y
559,14 ,5,1250,14 ,Y
560,3 ,8,2000,50 ,Y
561,4 ,11,2750,64 ,N
562,4 ,9,2250,52 ,Y
563,4 ,16,4000,98 ,N
564,7 ,10,2500,47 ,Y
565,4 ,14,3500,86 ,Y
566,2 ,9,2250,75 ,Y
567,4 ,6,1500,35 ,Y
568,4 ,9,2250,55 ,Y
569,4 ,6,1500,35 ,N
570,2 ,6,1500,45 ,Y
571,2 ,6,1500,47 ,Y
572,4 ,2,500,9 ,Y
573,2 ,2,500,11 ,N
574,2 ,2,500,11 ,Y
575,2 ,2,500,11 ,N
576,4 ,6,1500,38 ,N
577,3 ,4,1000,29 ,N
578,9 ,9,2250,38 ,Y
579,11 ,5,1250,18 ,Y
580,2 ,3,750,21 ,Y
581,2 ,1,250,2 ,Y
582,2 ,1,250,2 ,N
583,2 ,1,250,2 ,Y
584,2 ,1,250,2 ,Y
585,2 ,1,250,2 ,Y
586,2 ,1,250,2 ,Y
587,2 ,1,250,2 ,N
588,2 ,1,250,2 ,Y
589,2 ,1,250,2 ,Y
590,2 ,1,250,2 ,Y
591,2 ,1,250,2 ,Y
592,11 ,11,2750,38 ,Y
593,2 ,3,750,22 ,Y
594,9 ,11,2750,49 ,N
595,5 ,11,2750,75 ,Y
596,3 ,5,1250,38 ,Y
597,3 ,1,250,3 ,N
598,4 ,6,1500,43 ,Y
599,2 ,3,750,24 ,Y
600,12 ,11,2750,39 ,Y
601,2 ,2,500,14 ,Y
602,4 ,6,1500,46 ,Y
603,9 ,3,750,14 ,Y
604,14 ,8,2000,26 ,Y
605,4 ,2,500,13 ,Y
606,4 ,11,2750,95 ,Y
607,2 ,7,1750,77 ,Y
608,2 ,7,1750,77 ,Y
609,4 ,1,250,4 ,Y
610,4 ,1,250,4 ,Y
611,4 ,1,250,4 ,Y
612,4 ,1,250,4 ,Y
613,4 ,1,250,4 ,N
614,4 ,1,250,4 ,Y
615,4 ,1,250,4 ,Y
616,4 ,1,250,4 ,Y
617,4 ,1,250,4 ,Y
618,4 ,1,250,4 ,Y
619,4 ,1,250,4 ,N
620,4 ,1,250,4 ,Y
621,4 ,7,1750,62 ,Y
622,4 ,1,250,4 ,Y
623,4 ,4,1000,34 ,N
624,11 ,6,1500,28 ,Y
625,13 ,3,750,14 ,N
626,7 ,5,1250,35 ,Y
627,9 ,9,2250,54 ,Y
628,11 ,2,500,11 ,Y
629,2 ,5,1250,63 ,Y
630,7 ,11,2750,89 ,Y
631,8 ,9,2250,64 ,Y
632,2 ,2,500,22 ,Y
633,6 ,3,750,26 ,Y
634,12 ,15,3750,71 ,Y
635,13 ,3,750,16 ,Y
636,11 ,16,4000,89 ,Y
637,4 ,5,1250,58 ,Y
638,14 ,7,1750,35 ,Y
639,11 ,4,1000,27 ,Y
640,7 ,9,2250,89 ,N
641,11 ,8,2000,52 ,N
642,7 ,5,1250,52 ,Y
643,11 ,6,1500,41 ,Y
644,10 ,5,1250,38 ,Y
645,14 ,2,500,14 ,N
646,14 ,2,500,14 ,Y
647,14 ,2,500,14 ,Y
648,2 ,2,500,33 ,Y
649,11 ,3,750,23 ,Y
650,14 ,8,2000,46 ,Y
651,9 ,1,250,9 ,Y
652,16 ,5,1250,27 ,Y
653,14 ,4,1000,26 ,Y
654,4 ,2,500,30 ,Y
655,14 ,3,750,21 ,Y
656,16 ,16,4000,77 ,Y
657,4 ,2,500,31 ,Y
658,14 ,8,2000,50 ,Y
659,11 ,3,750,26 ,Y
660,14 ,7,1750,45 ,Y
661,15 ,5,1250,33 ,Y
662,16 ,2,500,16 ,Y
663,16 ,3,750,21 ,Y
664,11 ,8,2000,72 ,Y
665,11 ,1,250,11 ,Y
666,11 ,1,250,11 ,Y
667,11 ,1,250,11 ,Y
668,11 ,1,250,11 ,N
669,11 ,1,250,11 ,Y
670,2 ,3,750,75 ,N
671,2 ,3,750,77 ,Y
672,16 ,4,1000,28 ,Y
673,16 ,15,3750,87 ,Y
674,16 ,14,3500,83 ,Y
675,16 ,10,2500,62 ,Y
676,16 ,3,750,23 ,Y
677,14 ,3,750,26 ,Y
678,23 ,19,4750,62 ,Y
679,11 ,7,1750,75 ,Y
680,14 ,3,750,28 ,Y
681,20 ,14,3500,69 ,N
682,4 ,2,500,46 ,Y
683,11 ,2,500,25 ,Y
684,11 ,3,750,37 ,Y
685,16 ,4,1000,33 ,Y
686,21 ,7,1750,38 ,Y
687,13 ,7,1750,76 ,Y
688,16 ,6,1500,50 ,Y
689,14 ,3,750,33 ,Y
690,14 ,1,250,14 ,Y
691,14 ,1,250,14 ,Y
692,14 ,1,250,14 ,Y
693,14 ,1,250,14 ,Y
694,14 ,1,250,14 ,Y
695,14 ,1,250,14 ,Y
696,17 ,7,1750,58 ,N
697,14 ,3,750,35 ,Y
698,14 ,3,750,35 ,Y
699,16 ,7,1750,64 ,Y
700,21 ,2,500,21 ,Y
701,16 ,3,750,35 ,Y
702,16 ,1,250,16 ,Y
703,16 ,1,250,16 ,Y
704,16 ,1,250,16 ,Y
705,16 ,1,250,16 ,Y
706,16 ,1,250,16 ,Y
707,14 ,2,500,29 ,Y
708,11 ,4,1000,74 ,Y
709,11 ,2,500,38 ,N
710,21 ,6,1500,48 ,Y
711,23 ,2,500,23 ,Y
712,23 ,6,1500,45 ,Y
713,14 ,2,500,35 ,N
714,16 ,6,1500,81 ,Y
715,16 ,4,1000,58 ,Y
716,16 ,5,1250,71 ,Y
717,21 ,2,500,26 ,Y
718,21 ,3,750,35 ,Y
719,21 ,3,750,35 ,Y
720,23 ,8,2000,69 ,Y
721,21 ,3,750,38 ,Y
722,23 ,3,750,35 ,Y
723,21 ,3,750,40 ,Y
724,23 ,2,500,28 ,Y
725,21 ,1,250,21 ,Y
726,21 ,1,250,21 ,Y
727,25 ,6,1500,50 ,Y
728,21 ,1,250,21 ,Y
729,21 ,1,250,21 ,Y
730,23 ,3,750,39 ,Y
731,21 ,2,500,33 ,Y
732,14 ,3,750,79 ,Y
733,23 ,1,250,23 ,N
734,23 ,1,250,23 ,Y
735,23 ,1,250,23 ,Y
736,23 ,1,250,23 ,Y
737,23 ,1,250,23 ,Y
738,23 ,1,250,23 ,Y
739,23 ,1,250,23 ,Y
740,23 ,4,1000,52 ,Y
741,23 ,1,250,23 ,Y
742,23 ,7,1750,88 ,Y
743,16 ,3,750,86 ,Y
744,23 ,2,500,38 ,Y
745,21 ,2,500,52 ,Y
746,23 ,3,750,62 ,Y
747,39 ,1,250,39 ,Y
748,72 ,1,250,72 ,Y
